addrCd,gungu,sido,resNm,rnum,csForCnt,csNatCnt
1114,중구,서울특별시,덕수궁,6,19392,69402
1135,노원구,서울특별시,태릉 ·  강릉 · 조선왕릉전시관,7,2,1659
1141,서대문구,서울특별시,서대문형무소역사관,8,2740,27598
1141,서대문구,서울특별시,서대문자연사박물관,9,0,29396
1144,마포구,서울특별시,트릭아이미술관,10,23829,6671
1165,서초구,서울특별시,헌릉ㆍ인릉,11,4,1227
1168,강남구,서울특별시,선릉·정릉,12,149,13241
1111,종로구,서울특별시,창덕궁,1,27363,50218
1111,종로구,서울특별시,경복궁,2,139457,155014
1111,종로구,서울특별시,창경궁,3,2111,22077
1111,종로구,서울특별시,종묘,4,3104,9809
1117,용산구,서울특별시,국립중앙박물관,5,7170,344705
1114,중구,서울특별시,덕수궁,6,23012,67840
1135,노원구,서울특별시,태릉 ·  강릉 · 조선왕릉전시관,7,4,1635
1141,서대문구,서울특별시,서대문형무소역사관,8,3433,25727
1141,서대문구,서울특별시,서대문자연사박물관,9,0,28301
1144,마포구,서울특별시,트릭아이미술관,10,18209,6561
1165,서초구,서울특별시,헌릉ㆍ인릉,11,7,1272
1168,강남구,서울특별시,선릉·정릉,12,100,14417
1111,종로구,서울특별시,창덕궁,1,37970,72277
1111,종로구,서울특별시,경복궁,2,100061,165143
1111,종로구,서울특별시,창경궁,3,3935,37464
1111,종로구,서울특별시,종묘,4,5818,15581
1117,용산구,서울특별시,국립중앙박물관,5,11601,229109
1114,중구,서울특별시,덕수궁,6,31189,68205
1135,노원구,서울특별시,태릉 ·  강릉 · 조선왕릉전시관,7,14,3766
1141,서대문구,서울특별시,서대문형무소역사관,8,3695,62661
1141,서대문구,서울특별시,서대문자연사박물관,9,0,23068
1144,마포구,서울특별시,트릭아이미술관,10,15875,3467
1165,서초구,서울특별시,헌릉ㆍ인릉,11,4,2738
1168,강남구,서울특별시,선릉·정릉,12,425,30410
1111,종로구,서울특별시,창덕궁,1,48050,168988
1111,종로구,서울특별시,경복궁,2,124811,351637
1111,종로구,서울특별시,창경궁,3,11088,118778
1111,종로구,서울특별시,종묘,4,5998,21154
1117,용산구,서울특별시,국립중앙박물관,5,11133,235668
1114,중구,서울특별시,덕수궁,6,36466,120740
1135,노원구,서울특별시,태릉 ·  강릉 · 조선왕릉전시관,7,50,12765
1141,서대문구,서울특별시,서대문형무소역사관,8,3131,55776
1141,서대문구,서울특별시,서대문자연사박물관,9,0,26021
1144,마포구,서울특별시,트릭아이미술관,10,22049,4081
1165,서초구,서울특별시,헌릉ㆍ인릉,11,11,4515
1168,강남구,서울특별시,선릉·정릉,12,672,45239
1111,종로구,서울특별시,창덕궁,1,33890,146783
1111,종로구,서울특별시,경복궁,2,83321,355030
1111,종로구,서울특별시,창경궁,3,3568,96047
1111,종로구,서울특별시,종묘,4,6523,70624
1117,용산구,서울특별시,국립중앙박물관,5,8958,260195
1114,중구,서울특별시,덕수궁,6,24640,144608
1135,노원구,서울특별시,태릉 ·  강릉 · 조선왕릉전시관,7,38,16748
1141,서대문구,서울특별시,서대문형무소역사관,8,4567,91425
1141,서대문구,서울특별시,서대문자연사박물관,9,0,27236
1144,마포구,서울특별시,트릭아이미술관,10,14615,6792
1165,서초구,서울특별시,헌릉ㆍ인릉,11,49,3660
1168,강남구,서울특별시,선릉·정릉,12,546,37342
1111,종로구,서울특별시,창덕궁,1,27162,80358
1111,종로구,서울특별시,경복궁,2,81119,175296
1111,종로구,서울특별시,창경궁,3,3348,53251
1111,종로구,서울특별시,종묘,4,4557,55822
1117,용산구,서울특별시,국립중앙박물관,5,9619,209942
1114,중구,서울특별시,덕수궁,6,21038,87020
1135,노원구,서울특별시,태릉 ·  강릉 · 조선왕릉전시관,7,26,9370
1141,서대문구,서울특별시,서대문형무소역사관,8,3725,60816
1141,서대문구,서울특별시,서대문자연사박물관,9,0,26453
1144,마포구,서울특별시,트릭아이미술관,10,11732,4943
1165,서초구,서울특별시,헌릉ㆍ인릉,11,12,3763
1168,강남구,서울특별시,선릉·정릉,12,520,32216
1111,종로구,서울특별시,창덕궁,1,28603,52737
1111,종로구,서울특별시,경복궁,2,69373,184033
1111,종로구,서울특별시,창경궁,3,3877,49725
1111,종로구,서울특별시,종묘,4,4441,23562
1117,용산구,서울특별시,국립중앙박물관,5,12169,287348
1114,중구,서울특별시,덕수궁,6,22107,65982
1135,노원구,서울특별시,태릉 ·  강릉 · 조선왕릉전시관,7,21,2914
1141,서대문구,서울특별시,서대문형무소역사관,8,4074,22459
1141,서대문구,서울특별시,서대문자연사박물관,9,0,31237
1144,마포구,서울특별시,트릭아이미술관,10,14245,8261
1165,서초구,서울특별시,헌릉ㆍ인릉,11,16,2543
1168,강남구,서울특별시,선릉·정릉,12,673,23263
1111,종로구,서울특별시,창덕궁,1,29942,65016
1111,종로구,서울특별시,경복궁,2,61121,236717
1111,종로구,서울특별시,창경궁,3,4942,40567
1111,종로구,서울특별시,종묘,4,4615,14949
