addrCd,gungu,sido,resNm,rnum,csForCnt,csNatCnt
2714,동구,대구광역시,대구시니어체험관,2,0,463
2714,동구,대구광역시,팔공산 케이블카,3,0,25480
2723,북구,대구광역시,대구사격장,4,132,12482
2726,수성구,대구광역시,대구미술관,5,0,16062
2729,달서구,대구광역시,이월드,6,8301,157716
2729,달서구,대구광역시,온천 엘리바덴,7,1125,47756
2771,달성군,대구광역시,허브힐즈 (구 냉천자연랜드),8,0,0
2771,달성군,대구광역시,스파밸리,9,0,12217
2771,달성군,대구광역시,국립대구과학관,10,0,47397
2771,달성군,대구광역시,사문진유람선(달성호 및 사문진호),11,0,4105
2711,중구,대구광역시,구암서원,1,131,2934
2714,동구,대구광역시,대구시니어체험관,2,0,697
2714,동구,대구광역시,팔공산 케이블카,3,0,34133
2723,북구,대구광역시,대구사격장,4,188,16545
2726,수성구,대구광역시,대구미술관,5,0,21794
2729,달서구,대구광역시,이월드,6,10806,205311
2729,달서구,대구광역시,온천 엘리바덴,7,1546,50285
2771,달성군,대구광역시,허브힐즈 (구 냉천자연랜드),8,342,13541
2771,달성군,대구광역시,스파밸리,9,0,11508
2771,달성군,대구광역시,국립대구과학관,10,0,70813
2771,달성군,대구광역시,사문진유람선(달성호 및 사문진호),11,0,8941
2711,중구,대구광역시,구암서원,1,19,2456
2714,동구,대구광역시,대구시니어체험관,2,0,181
2714,동구,대구광역시,팔공산 케이블카,3,0,16704
2723,북구,대구광역시,대구사격장,4,127,14145
2726,수성구,대구광역시,대구미술관,5,0,8990
2729,달서구,대구광역시,이월드,6,2799,53179
2729,달서구,대구광역시,온천 엘리바덴,7,448,32789
2771,달성군,대구광역시,허브힐즈 (구 냉천자연랜드),8,466,15712
2771,달성군,대구광역시,스파밸리,9,0,2805
2771,달성군,대구광역시,국립대구과학관,10,0,11555
2771,달성군,대구광역시,사문진유람선(달성호 및 사문진호),11,0,3405
2711,중구,대구광역시,구암서원,1,27,2672
2714,동구,대구광역시,대구시니어체험관,2,0,378
2714,동구,대구광역시,팔공산 케이블카,3,0,19311
2723,북구,대구광역시,대구사격장,4,102,11597
2726,수성구,대구광역시,대구미술관,5,0,17329
2729,달서구,대구광역시,이월드,6,41,96321
2729,달서구,대구광역시,온천 엘리바덴,7,259,52416
2771,달성군,대구광역시,허브힐즈 (구 냉천자연랜드),8,512,16532
2771,달성군,대구광역시,스파밸리,9,0,28125
2771,달성군,대구광역시,국립대구과학관,10,0,31257
2771,달성군,대구광역시,사문진유람선(달성호 및 사문진호),11,0,66764
2711,중구,대구광역시,구암서원,1,349,2566
2714,동구,대구광역시,대구시니어체험관,2,0,486
2714,동구,대구광역시,팔공산 케이블카,3,0,28127
2720,남구,대구광역시,앞산케이블카,4,0,5988
2723,북구,대구광역시,대구사격장,5,129,15458
2726,수성구,대구광역시,대구미술관,6,0,33567
2729,달서구,대구광역시,이월드,7,160,129502
2729,달서구,대구광역시,온천 엘리바덴,8,681,64718
2771,달성군,대구광역시,허브힐즈 (구 냉천자연랜드),9,523,16858
2771,달성군,대구광역시,스파밸리,10,0,30112
2771,달성군,대구광역시,국립대구과학관,11,0,63139
2771,달성군,대구광역시,사문진유람선(달성호 및 사문진호),12,0,3329
2711,중구,대구광역시,구암서원,1,854,2643
2714,동구,대구광역시,대구시니어체험관,2,75,442
2714,동구,대구광역시,팔공산 케이블카,3,0,23811
2720,남구,대구광역시,앞산케이블카,4,0,8913
2723,북구,대구광역시,대구사격장,5,891,16954
2726,수성구,대구광역시,대구미술관,6,0,16158
2729,달서구,대구광역시,이월드,7,581,117102
2729,달서구,대구광역시,온천 엘리바덴,8,419,43425
2771,달성군,대구광역시,허브힐즈 (구 냉천자연랜드),9,562,19293
2771,달성군,대구광역시,스파밸리,10,0,34566
2771,달성군,대구광역시,국립대구과학관,11,0,65124
2771,달성군,대구광역시,사문진유람선(달성호 및 사문진호),12,0,4897
2711,중구,대구광역시,구암서원,1,404,2069
2714,동구,대구광역시,대구시니어체험관,2,0,434
2714,동구,대구광역시,팔공산 케이블카,3,0,51096
2720,남구,대구광역시,앞산케이블카,4,0,12241
2723,북구,대구광역시,대구사격장,5,4287,11130
2726,수성구,대구광역시,대구미술관,6,0,18999
2729,달서구,대구광역시,이월드,7,1280,124447
2729,달서구,대구광역시,온천 엘리바덴,8,535,49219
2771,달성군,대구광역시,허브힐즈 (구 냉천자연랜드),9,553,19425
2771,달성군,대구광역시,스파밸리,10,0,31125
2771,달성군,대구광역시,국립대구과학관,11,0,66255
